weeks since 2001-01-04,Dump_Time_Stamp,Tons_Collected
1,2001-01-04,117.15048582573043
2,2001-01-05,128.1250217850396
3,2001-01-06,112.6105152930444
4,2001-01-07,108.89330427994472
5,2001-01-08,119.88740286251142
6,2001-01-09,103.33449020660382
7,2001-01-10,112.55042311450968
8,2001-01-11,80.4206327959934
9,2001-01-12,122.89585972639195
10,2001-01-13,111.76563197380996
11,2001-01-14,94.8478015364809
12,2001-01-15,115.93080493333937
13,2001-01-16,115.40661705730739
14,2001-01-17,116.59938369170514
15,2001-01-18,113.56009938725067
16,2001-01-19,129.21873098768592
17,2001-01-20,122.2201474950664
18,2001-01-21,124.88452189770645
19,2001-01-22,103.68598072518384
20,2001-01-23,88.00264777792937
21,2001-01-24,99.74317678034524
22,2001-01-25,85.46091487344518
23,2001-01-26,81.63261356598235
24,2001-01-27,86.88522017232275
25,2001-01-28,132.24331402865084
26,2001-01-29,131.2080468617118
27,2001-01-30,102.97220885286238
28,2001-01-31,88.9853121070787
29,2001-02-01,106.24506758520428
30,2001-02-02,90.46825858353255
31,2001-02-03,84.97620613168829
32,2001-02-04,86.61359202342437
33,2001-02-05,70.19864411889225
34,2001-02-06,66.80700315263157
35,2001-02-07,79.70801593859984
36,2001-02-08,88.84649192230344
37,2001-02-09,97.55669455357894
38,2001-02-10,103.12704011788448
39,2001-02-11,102.45475624631675
40,2001-02-12,109.81974469402832
41,2001-02-13,102.12471929099071
42,2001-02-14,89.33827894488692
43,2001-02-15,83.81853516239727
44,2001-02-16,86.46751463301185
45,2001-02-17,80.22842663804053
46,2001-02-18,77.14897665409337
47,2001-02-19,85.91285386760686
48,2001-02-20,98.29477865720462
49,2001-02-21,108.25731815653324
50,2001-02-22,114.22440528890732
51,2001-02-23,109.30672583815627
52,2001-02-24,112.59665066626603
53,2001-02-25,108.709290077074
54,2001-02-26,110.18188136891199
55,2001-02-27,103.89244081427222
56,2001-02-28,93.68614506655898
57,2001-03-01,87.37575323676253
58,2001-03-02,115.7540088959924
59,2001-03-03,93.15444268330724
60,2001-03-04,118.39772257611885
61,2001-03-05,141.74345866144753
62,2001-03-06,128.9590071102627
63,2001-03-07,109.07381155193774
64,2001-03-08,129.56688304866725
65,2001-03-09,112.60457428746815
66,2001-03-10,105.55281085670542
67,2001-03-11,91.79993770652476
68,2001-03-12,103.65058219411749
69,2001-03-13,104.47687480098406
70,2001-03-14,123.55274838503382
71,2001-03-15,84.40314636508937
72,2001-03-16,116.80479629250978
73,2001-03-17,133.38867749413944
74,2001-03-18,131.88241859987198
75,2001-03-19,105.07883098628018
76,2001-03-20,125.09260031043428
77,2001-03-21,118.69724925170942
78,2001-03-22,112.69885658399095
79,2001-03-23,89.50134668111556
80,2001-03-24,93.38823566804085
81,2001-03-25,92.86238474986841
82,2001-03-26,70.87873141092115
83,2001-03-27,90.46792567924713
84,2001-03-28,95.37990023199211
85,2001-03-29,91.2683940685567
86,2001-03-30,115.08668939922985
87,2001-03-31,10.642644152952094
88,2001-04-01,0.0
89,2001-04-02,12.224830553559995
90,2001-04-03,109.28706206845807
91,2001-04-04,131.1444744821497
92,2001-04-05,120.21576827530389
93,2001-04-06,74.15993514829937
94,2001-04-07,77.78498320471438
95,2001-04-08,80.47718706694904
96,2001-04-09,91.80877807164185
97,2001-04-10,105.42629103481359
98,2001-04-11,101.5587535565644
99,2001-04-12,86.09810698165553
100,2001-04-13,106.61522818042329
101,2001-04-14,131.12629232021106
102,2001-04-15,94.96242570743861
103,2001-04-16,85.48348374741813
104,2001-04-17,97.18023016034816
105,2001-04-18,88.37677874001265
106,2001-04-19,85.50137112295536
107,2001-04-20,90.1633265433166
108,2001-04-21,122.59511249446268
109,2001-04-22,108.84924349934269
110,2001-04-23,101.3485125213223
111,2001-04-24,117.1566953678777
112,2001-04-25,121.92634101313394
113,2001-04-26,108.7871465111113
114,2001-04-27,98.96628061312857
115,2001-04-28,86.61054340153926
116,2001-04-29,97.36191666306861
117,2001-04-30,113.09550010636758
118,2001-05-01,91.15249245342727
119,2001-05-02,100.45715521408157
120,2001-05-03,109.61576562355819
121,2001-05-04,129.4002383945836
122,2001-05-05,114.28965629919102
123,2001-05-06,114.64021468922763
124,2001-05-07,128.14868529273627
125,2001-05-08,135.76225898449619
126,2001-05-09,101.4516647923795
127,2001-05-10,97.7040509780853
128,2001-05-11,103.79006579980678
129,2001-05-12,109.85705793116213
130,2001-05-13,93.0458479948503
131,2001-05-14,104.62558230010598
132,2001-05-15,91.2032303578111
133,2001-05-16,114.56230575153634
134,2001-05-17,103.55143506921362
135,2001-05-18,91.70180131238975
136,2001-05-19,112.57573923965971
137,2001-05-20,100.04026126181779
138,2001-05-21,93.49961652478767
139,2001-05-22,57.28575620044071
140,2001-05-23,79.68814245578433
141,2001-05-24,70.33381805980113
142,2001-05-25,107.55900468548529
143,2001-05-26,73.7082307399457
144,2001-05-27,92.31182975168308
145,2001-05-28,92.71301280995226
146,2001-05-29,92.94583774263022
147,2001-05-30,73.88581212396414
148,2001-05-31,112.4650819492699
149,2001-06-01,106.77188379673971
150,2001-06-02,85.17545050189422
151,2001-06-03,94.50920078174117
152,2001-06-04,78.55764548836585
153,2001-06-05,91.46420254570407
154,2001-06-06,89.0188259194449
155,2001-06-07,88.01568452914762
156,2001-06-08,93.94312594391127
157,2001-06-09,108.56645083057879
158,2001-06-10,122.92156640112674
159,2001-06-11,97.4709062118353
160,2001-06-12,106.17641989018816
161,2001-06-13,116.19704120207894
162,2001-06-14,104.95629597394283
163,2001-06-15,92.15926600792909
164,2001-06-16,98.41543188219457
165,2001-06-17,112.25595968567094
166,2001-06-18,104.48640917975199
167,2001-06-19,93.53932639656203
168,2001-06-20,105.8634406183517
169,2001-06-21,127.43102529417712
170,2001-06-22,109.77407377638254
171,2001-06-23,115.59291437142963
172,2001-06-24,128.90078495982567
173,2001-06-25,133.00149482925383
174,2001-06-26,102.75118832191293
175,2001-06-27,82.19899280529377
176,2001-06-28,86.42547606877167
177,2001-06-29,98.06715561267323
178,2001-06-30,101.29011914219834
179,2001-07-01,86.09047763115551
180,2001-07-02,97.06697904854468
181,2001-07-03,109.57744370224188
182,2001-07-04,102.32122049328576
183,2001-07-05,113.03198233966036
184,2001-07-06,102.29178322332747
185,2001-07-07,118.50226661633346
186,2001-07-08,89.44216954946967
187,2001-07-09,80.02297808192151
188,2001-07-10,76.72899510055865
189,2001-07-11,103.6938563802596
190,2001-07-12,96.52703768457968
191,2001-07-13,83.7819657515358
192,2001-07-14,92.62445667641164
193,2001-07-15,111.01095902875765
194,2001-07-16,80.59783023388576
195,2001-07-17,101.12925771260517
196,2001-07-18,105.42608655532173
197,2001-07-19,106.25141254236827
198,2001-07-20,89.7518056222839
199,2001-07-21,85.15888571069709
200,2001-07-22,77.73062098565633
201,2001-07-23,55.50737269445361
202,2001-07-24,92.84615273478855
203,2001-07-25,80.03224771574848
204,2001-07-26,88.01851608479377
205,2001-07-27,107.01287962644679
206,2001-07-28,98.00362336674732
207,2001-07-29,102.31528780261945
208,2001-07-30,101.85329196330807
209,2001-07-31,117.58022563158376
